,dataset,model,kappa,metric,param.,value,ABC,CI
0,BC,log_reg,SR,standard,N,1.0,0.05991084149013905,"[np.float64(0.035529038838667676), np.float64(0.08429264414161042)]"
1,BC,log_reg,SR,FP,N,1.0,0.05080135477616191,"[np.float64(0.03554820939041309), np.float64(0.06605450016191074)]"
2,BC,log_reg,SR,FN,N,1.0,0.05618904585169987,"[np.float64(0.027689001840426046), np.float64(0.08468908986297369)]"
3,BC,log_reg,SR,FPR,N,1.0,0.13915496469494387,"[np.float64(0.12200717651879048), np.float64(0.15630275287109727)]"
4,BC,log_reg,SR,FNR,N,1.0,0.37696982733670303,"[np.float64(0.232008340256462), np.float64(0.5219313144169441)]"
5,BC,log_reg,SR,standard,N,0.75,0.07638255112614754,"[np.float64(0.04699266442953228), np.float64(0.1057724378227628)]"
6,BC,log_reg,SR,FP,N,0.75,0.06189663601567922,"[np.float64(0.02758645022936649), np.float64(0.09620682180199194)]"
7,BC,log_reg,SR,FN,N,0.75,0.0749482183819592,"[np.float64(0.04926288309209023), np.float64(0.10063355367182816)]"
8,BC,log_reg,SR,FPR,N,0.75,0.18477309052311336,"[np.float64(0.12732834069667606), np.float64(0.24221784034955066)]"
9,BC,log_reg,SR,FNR,N,0.75,,"[np.float64(nan), np.float64(nan)]"
10,BC,log_reg,SR,standard,N,0.5,0.10012703388025834,"[np.float64(0.053459067612352106), np.float64(0.14679500014816457)]"
11,BC,log_reg,SR,FP,N,0.5,0.0922544739119136,"[np.float64(0.056891650698369226), np.float64(0.127617297125458)]"
12,BC,log_reg,SR,FN,N,0.5,,"[np.float64(nan), np.float64(nan)]"
13,BC,log_reg,SR,FPR,N,0.5,0.33650874690902416,"[np.float64(0.22526362586820192), np.float64(0.4477538679498464)]"
14,BC,log_reg,SR,FNR,N,0.5,,"[np.float64(nan), np.float64(nan)]"
15,BC,log_reg,SR,standard,N,0.25,0.1982383611095187,"[np.float64(0.15736351307219731), np.float64(0.2391132091468401)]"
16,BC,log_reg,SR,FP,N,0.25,,"[np.float64(nan), np.float64(nan)]"
17,BC,log_reg,SR,FN,N,0.25,,"[np.float64(nan), np.float64(nan)]"
18,BC,log_reg,SR,FPR,N,0.25,,"[np.float64(nan), np.float64(nan)]"
19,BC,log_reg,SR,FNR,N,0.25,,"[np.float64(nan), np.float64(nan)]"
20,BC,log_reg,SR,standard,imbalance,0.75,0.11634698075150696,"[np.float64(0.07444140446354684), np.float64(0.15825255703946706)]"
21,BC,log_reg,SR,FP,imbalance,0.75,,"[np.float64(nan), np.float64(nan)]"
22,BC,log_reg,SR,FN,imbalance,0.75,0.11845020371330409,"[np.float64(0.07921534596144533), np.float64(0.15768506146516284)]"
23,BC,log_reg,SR,FPR,imbalance,0.75,,"[np.float64(nan), np.float64(nan)]"
24,BC,log_reg,SR,FNR,imbalance,0.75,0.2790219028124007,"[np.float64(0.21574837538363706), np.float64(0.3422954302411643)]"
25,BC,log_reg,SR,standard,imbalance,0.5,0.07605675376586796,"[np.float64(0.02761389529223767), np.float64(0.12449961223949824)]"
26,BC,log_reg,SR,FP,imbalance,0.5,0.06587912368088411,"[np.float64(0.039033444670308864), np.float64(0.09272480269145936)]"
27,BC,log_reg,SR,FN,imbalance,0.5,0.07188722898104347,"[np.float64(0.03343872670462868), np.float64(0.11033573125745826)]"
28,BC,log_reg,SR,FPR,imbalance,0.5,0.2946350675785595,"[np.float64(0.15345946706318267), np.float64(0.4358106680939363)]"
29,BC,log_reg,SR,FNR,imbalance,0.5,0.30447038524070846,"[np.float64(0.15501762551704446), np.float64(0.45392314496437247)]"
30,BC,log_reg,SR,standard,imbalance,0.25,0.06298287282240819,"[np.float64(0.03814812556497048), np.float64(0.0878176200798459)]"
31,BC,log_reg,SR,FP,imbalance,0.25,0.05535869514559962,"[np.float64(0.029388621710172796), np.float64(0.08132876858102644)]"
32,BC,log_reg,SR,FN,imbalance,0.25,0.05959490992775561,"[np.float64(0.04492934786710676), np.float64(0.07426047198840446)]"
33,BC,log_reg,SR,FPR,imbalance,0.25,0.1275503788978673,"[np.float64(0.08514089589767093), np.float64(0.16995986189806367)]"
34,BC,log_reg,SR,FNR,imbalance,0.25,,"[np.float64(nan), np.float64(nan)]"
35,BC,log_reg,SR,standard,delta,0.001,0.05991084149013905,"[np.float64(0.035529038838667676), np.float64(0.08429264414161042)]"
36,BC,log_reg,SR,FP,delta,0.001,0.05080135477616191,"[np.float64(0.03554820939041309), np.float64(0.06605450016191074)]"
37,BC,log_reg,SR,FN,delta,0.001,0.05618904585169987,"[np.float64(0.027689001840426046), np.float64(0.08468908986297369)]"
38,BC,log_reg,SR,FPR,delta,0.001,0.13915496469494387,"[np.float64(0.12200717651879048), np.float64(0.15630275287109727)]"
39,BC,log_reg,SR,FNR,delta,0.001,0.37696982733670303,"[np.float64(0.232008340256462), np.float64(0.5219313144169441)]"
40,BC,log_reg,SR,standard,delta,0.01,0.043036253268587524,"[np.float64(0.019798166868423006), np.float64(0.06627433966875204)]"
41,BC,log_reg,SR,FP,delta,0.01,0.03532916908014766,"[np.float64(0.020912583688152277), np.float64(0.04974575447214304)]"
42,BC,log_reg,SR,FN,delta,0.01,0.040407442012421455,"[np.float64(0.013609197460500218), np.float64(0.0672056865643427)]"
43,BC,log_reg,SR,FPR,delta,0.01,0.09106662844239365,"[np.float64(0.07465861017846988), np.float64(0.10747464670631741)]"
44,BC,log_reg,SR,FNR,delta,0.01,0.22333806652493476,"[np.float64(0.12385600889411873), np.float64(0.3228201241557508)]"
45,BC,log_reg,SR,standard,delta,0.1,0.02410441431846071,"[np.float64(0.0031774068136712977), np.float64(0.04503142182325012)]"
46,BC,log_reg,SR,FP,delta,0.1,0.018206023563530967,"[np.float64(0.005763019655055091), np.float64(0.030649027472006842)]"
47,BC,log_reg,SR,FN,delta,0.1,0.023329482606908144,"[np.float64(0.0006848831041310621), np.float64(0.045974082109685226)]"
48,BC,log_reg,SR,FPR,delta,0.1,0.04461718006824562,"[np.float64(0.028752621946927865), np.float64(0.06048173818956337)]"
49,BC,log_reg,SR,FNR,delta,0.1,0.10557575864473248,"[np.float64(0.03160084738233643), np.float64(0.17955066990712854)]"
50,CIFAR2,cnn,SR,standard,N,1.0,0.006798320525362082,"[np.float64(0.0019175716917388388), np.float64(0.011679069358985324)]"
51,CIFAR2,cnn,SR,FP,N,1.0,0.00632223455543926,"[np.float64(0.0024967318888139706), np.float64(0.01014773722206455)]"
52,CIFAR2,cnn,SR,FN,N,1.0,0.003120617891070798,"[np.float64(0.0015521490266794207), np.float64(0.004689086755462175)]"
53,CIFAR2,cnn,SR,FPR,N,1.0,0.009990217333730006,"[np.float64(0.006064768522312983), np.float64(0.01391566614514703)]"
54,CIFAR2,cnn,SR,FNR,N,1.0,0.11754461638166991,"[np.float64(0.08365110441818215), np.float64(0.15143812834515769)]"
55,CIFAR2,cnn,SR,standard,N,0.75,0.008047760965808832,"[np.float64(0.00036393435185531117), np.float64(0.01573158757976235)]"
56,CIFAR2,cnn,SR,FP,N,0.75,0.007332681999970525,"[np.float64(0.00044281763584031776), np.float64(0.014222546364100733)]"
57,CIFAR2,cnn,SR,FN,N,0.75,0.003889276468642499,"[np.float64(0.0016714183494796826), np.float64(0.006107134587805315)]"
58,CIFAR2,cnn,SR,FPR,N,0.75,0.011704239378045277,"[np.float64(0.0041075950424474626), np.float64(0.019300883713643094)]"
59,CIFAR2,cnn,SR,FNR,N,0.75,0.13140843585280312,"[np.float64(0.10793153530563816), np.float64(0.1548853363999681)]"
60,CIFAR2,cnn,SR,standard,N,0.5,0.010785957495479134,"[np.float64(0.003574734790011311), np.float64(0.017997180200946955)]"
61,CIFAR2,cnn,SR,FP,N,0.5,0.010210981360211719,"[np.float64(0.0029645430719479546), np.float64(0.017457419648475483)]"
62,CIFAR2,cnn,SR,FN,N,0.5,0.004591226648913188,"[np.float64(0.001932738660575804), np.float64(0.007249714637250573)]"
63,CIFAR2,cnn,SR,FPR,N,0.5,0.015866883078525046,"[np.float64(0.007249478580556582), np.float64(0.02448428757649351)]"
64,CIFAR2,cnn,SR,FNR,N,0.5,0.17710113363227278,"[np.float64(0.13917437234686603), np.float64(0.21502789491767954)]"
65,CIFAR2,cnn,SR,standard,N,0.25,0.01715846647639288,"[np.float64(0.00684733003893633), np.float64(0.02746960291384943)]"
66,CIFAR2,cnn,SR,FP,N,0.25,0.01644066220226914,"[np.float64(0.007508497505236017), np.float64(0.025372826899302266)]"
67,CIFAR2,cnn,SR,FN,N,0.25,0.006871979597795469,"[np.float64(0.004428393153361099), np.float64(0.009315566042229839)]"
68,CIFAR2,cnn,SR,FPR,N,0.25,0.02480486832030977,"[np.float64(0.013494075572097685), np.float64(0.036115661068521855)]"
69,CIFAR2,cnn,SR,FNR,N,0.25,0.32070455915104107,"[np.float64(0.25424216066998895), np.float64(0.3871669576320932)]"
70,CIFAR2,cnn,SR,standard,imbalance,0.75,0.02235542094599361,"[np.float64(0.008265482023332172), np.float64(0.03644535986865505)]"
71,CIFAR2,cnn,SR,FP,imbalance,0.75,0.013240982771186452,"[np.float64(0.004434197470874814), np.float64(0.022047768071498088)]"
72,CIFAR2,cnn,SR,FN,imbalance,0.75,0.020555803143290634,"[np.float64(0.009785374051725792), np.float64(0.03132623223485548)]"
73,CIFAR2,cnn,SR,FPR,imbalance,0.75,0.1260575086921773,"[np.float64(0.06858014019309888), np.float64(0.18353487719125572)]"
74,CIFAR2,cnn,SR,FNR,imbalance,0.75,0.04953388741416328,"[np.float64(0.030241907744267424), np.float64(0.06882586708405913)]"
75,CIFAR2,cnn,SR,standard,imbalance,0.5,0.018073548131140087,"[np.float64(0.005979315770337723), np.float64(0.03016778049194245)]"
76,CIFAR2,cnn,SR,FP,imbalance,0.5,0.015098888512224056,"[np.float64(0.006708235198379127), np.float64(0.023489541826068987)]"
77,CIFAR2,cnn,SR,FN,imbalance,0.5,0.013257095867808627,"[np.float64(0.0036310703325984645), np.float64(0.02288312140301879)]"
78,CIFAR2,cnn,SR,FPR,imbalance,0.5,0.04802059429678122,"[np.float64(0.03278590375978706), np.float64(0.06325528483377538)]"
79,CIFAR2,cnn,SR,FNR,imbalance,0.5,0.06726925459805848,"[np.float64(0.03515660095635205), np.float64(0.09938190823976491)]"
80,CIFAR2,cnn,SR,standard,imbalance,0.25,0.010844271289383376,"[np.float64(0.004890700212047056), np.float64(0.016797842366719697)]"
81,CIFAR2,cnn,SR,FP,imbalance,0.25,0.009246745779083536,"[np.float64(0.002207530631934929), np.float64(0.01628596092623214)]"
82,CIFAR2,cnn,SR,FN,imbalance,0.25,0.007604188006025322,"[np.float64(0.0014924750018360643), np.float64(0.01371590101021458)]"
83,CIFAR2,cnn,SR,FPR,imbalance,0.25,0.01862499292048536,"[np.float64(0.009969603971308073), np.float64(0.02728038186966265)]"
84,CIFAR2,cnn,SR,FNR,imbalance,0.25,0.0811981445131447,"[np.float64(0.05840539250783691), np.float64(0.10399089651845247)]"
85,CIFAR2,cnn,SR,standard,delta,0.001,0.006798320525362082,"[np.float64(0.0019175716917388388), np.float64(0.011679069358985324)]"
86,CIFAR2,cnn,SR,FP,delta,0.001,0.00632223455543926,"[np.float64(0.0024967318888139706), np.float64(0.01014773722206455)]"
87,CIFAR2,cnn,SR,FN,delta,0.001,0.003120617891070798,"[np.float64(0.0015521490266794207), np.float64(0.004689086755462175)]"
88,CIFAR2,cnn,SR,FPR,delta,0.001,0.009990217333730006,"[np.float64(0.006064768522312983), np.float64(0.01391566614514703)]"
89,CIFAR2,cnn,SR,FNR,delta,0.001,0.11754461638166991,"[np.float64(0.08365110441818215), np.float64(0.15143812834515769)]"
90,CIFAR2,cnn,SR,standard,delta,0.01,0.00502710927381894,"[np.float64(0.0006291101455971476), np.float64(0.009425108402040732)]"
91,CIFAR2,cnn,SR,FP,delta,0.01,0.0045438855758092225,"[np.float64(0.0008500898356511651), np.float64(0.00823768131596728)]"
